method;uri;name;controller;action;middleware;domaine;type;statut
POST;/api/records/{record}/ai/summary;api.records.ai.summary;"Api\AiRecordApplyController";saveSummary;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
POST;/api/records/{record}/ai/thesaurus;api.records.ai.thesaurus;"Api\AiRecordApplyController";saveThesaurus;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
POST;/api/records/{record}/ai/thesaurus/auto;api.records.ai.thesaurus.auto;"Api\AiRecordApplyController";autoSuggestThesaurus;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
POST;/api/records/{record}/ai/thesaurus/suggest;api.records.ai.thesaurus.suggest;"Api\AiRecordApplyController";suggestThesaurus;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
POST;/api/records/{record}/ai/thesaurus/suggest-json;api.records.ai.thesaurus.suggest_json;"Api\AiRecordApplyController";suggestThesaurusFromJson;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
POST;/api/records/{record}/ai/title;api.records.ai.title;"Api\AiRecordApplyController";saveTitle;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
GET;/api/prompts;api.prompts.index;PromptController;index;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;crud;à-porter
GET;/api/prompts/{id};api.prompts.show;PromptController;show;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;crud;à-porter
POST;/api/prompts/{id}/actions;api.prompts.actions;PromptController;actions;"api web Authenticate RateLimitMiddleware:ai,30,60";D14;action;à-porter
GET;/settings/prompts;settings.prompts.index;PromptManagementController;index;"web Authenticate";D14;crud;à-porter
POST;/settings/prompts;settings.prompts.store;PromptManagementController;store;"web Authenticate";D14;crud;à-porter
GET;/settings/prompts/create;settings.prompts.create;PromptManagementController;create;"web Authenticate";D14;vue;abandonné
GET;/settings/prompts/{prompt};settings.prompts.show;PromptManagementController;show;"web Authenticate";D14;crud;à-porter
PUT|PATCH;/settings/prompts/{prompt};settings.prompts.update;PromptManagementController;update;"web Authenticate";D14;crud;à-porter
DELETE;/settings/prompts/{prompt};settings.prompts.destroy;PromptManagementController;destroy;"web Authenticate";D14;crud;à-porter
GET;/settings/prompts/{prompt}/edit;settings.prompts.edit;PromptManagementController;edit;"web Authenticate";D14;vue;abandonné
POST;/api/public/document-requests;api.secure.public.document-requests.store;"Api\PublicDocumentRequestApiController";store;"api Authenticate:sanctum RateLimitMiddleware:api_general,200,60 RateLimitMiddleware:document_request,20,60";D15;crud;à-porter
GET;/api/public/records;api.public.records.index;"Api\PublicRecordApiController";index;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:search,50,60";D15;crud;à-porter
POST;/api/public/records;api.public.records.store;"Api\PublicRecordApiController";store;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:search,50,60";D15;crud;à-porter
GET;/api/public/records/{record};api.public.records.show;"Api\PublicRecordApiController";show;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:search,50,60";D15;crud;à-porter
PUT|PATCH;/api/public/records/{record};api.public.records.update;"Api\PublicRecordApiController";update;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:search,50,60";D15;crud;à-porter
DELETE;/api/public/records/{record};api.public.records.destroy;"Api\PublicRecordApiController";destroy;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:search,50,60";D15;crud;à-porter
POST;/api/public/responses;api.secure.public.responses.store;"Api\PublicResponseApiController";store;"api Authenticate:sanctum RateLimitMiddleware:api_general,200,60";D15;crud;à-porter
POST;/api/public/users;api.secure.public.users.store;"Api\PublicUserApiController";store;"api Authenticate:sanctum RateLimitMiddleware:api_general,200,60";D15;crud;à-porter
POST;/api/public/users/forgot-password;api.public.users.forgot-password;"Api\PublicUserApiController";forgotPassword;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:auth,3,60";D15;action;à-porter
POST;/api/public/users/login;api.public.users.login;"Api\PublicUserApiController";login;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:auth,5,60";D15;action;à-porter
POST;/api/public/users/register;api.public.users.register;"Api\PublicUserApiController";register;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:auth,3,60";D15;action;à-porter
POST;/api/public/users/reset-password;api.public.users.reset-password;"Api\PublicUserApiController";resetPassword;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:auth,3,60";D15;action;à-porter
POST;/api/public/users/verify-token;api.public.users.verify-token;"Api\PublicUserApiController";verifyToken;"api RateLimitMiddleware:api_general,100,60 RateLimitMiddleware:auth,10,60";D15;action;à-porter
GET;/opac/login;opac.login;"OPAC\AuthController";showLoginForm;"web HandleOpacErrors";D15;action;à-porter
POST;/opac/login;opac.;"OPAC\AuthController";login;"web HandleOpacErrors";D15;action;à-porter
POST;/opac/logout;opac.logout;"OPAC\AuthController";logout;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/register;opac.register;"OPAC\AuthController";showRegistrationForm;"web HandleOpacErrors";D15;action;à-porter
POST;/opac/register;opac.;"OPAC\AuthController";register;"web HandleOpacErrors";D15;action;à-porter
GET;/public/configurations;public.configurations.index;"OPAC\ConfigurationController";index;"web Authenticate";D15;crud;à-porter
POST;/public/configurations/export;public.configurations.export;"OPAC\ConfigurationController";export;"web Authenticate";D15;export;à-porter
POST;/public/configurations/import;public.configurations.import;"OPAC\ConfigurationController";import;"web Authenticate";D15;upload;à-porter
GET;/public/configurations/{configuration};public.configurations.show;"OPAC\ConfigurationController";show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/configurations/{configuration};public.configurations.update;"OPAC\ConfigurationController";update;"web Authenticate";D15;crud;à-porter
POST;/public/configurations/{configuration}/reset;public.configurations.reset;"OPAC\ConfigurationController";reset;"web Authenticate";D15;action;à-porter
GET;/opac/dashboard;opac.dashboard;"OPAC\DashboardController";index;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/dashboard/activity;opac.dashboard.activity;"OPAC\DashboardController";activity;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/dashboard/preferences;opac.dashboard.preferences;"OPAC\DashboardController";preferences;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
PUT;/opac/dashboard/preferences;opac.dashboard.preferences.update;"OPAC\DashboardController";updatePreferences;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/dashboard/quick-actions;opac.dashboard.quick-actions;"OPAC\DashboardController";quickActions;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/digital/documents/{id};opac.digital.documents.show;"OPAC\DigitalDocumentController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/digital/documents/{id}/download;opac.digital.documents.download;"OPAC\DigitalDocumentController";download;"web HandleOpacErrors";D15;export;à-porter
GET;/opac/digital/folders;opac.digital.folders.index;"OPAC\DigitalFolderController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/digital/folders/{id};opac.digital.folders.show;"OPAC\DigitalFolderController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/document-requests;opac.document-requests.index;"OPAC\DocumentRequestController";index;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
POST;/opac/document-requests;opac.document-requests.store;"OPAC\DocumentRequestController";store;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/document-requests/create;opac.document-requests.create;"OPAC\DocumentRequestController";create;"web HandleOpacErrors Authenticate:public";D15;vue;abandonné
GET;/opac/document-requests/{documentRequest};opac.document-requests.show;"OPAC\DocumentRequestController";show;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
PUT;/opac/document-requests/{documentRequest};opac.document-requests.update;"OPAC\DocumentRequestController";update;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
POST;/opac/document-requests/{documentRequest}/cancel;opac.document-requests.cancel;"OPAC\DocumentRequestController";cancel;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/document-requests/{documentRequest}/edit;opac.document-requests.edit;"OPAC\DocumentRequestController";edit;"web HandleOpacErrors Authenticate:public";D15;vue;abandonné
GET;/opac/events;opac.events.index;"OPAC\EventController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/events/{event};opac.events.show;"OPAC\EventController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/feedback;opac.feedback.create;"OPAC\FeedbackController";create;"web HandleOpacErrors";D15;vue;abandonné
POST;/opac/feedback;opac.feedback.store;"OPAC\FeedbackController";store;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/feedback/success;opac.feedback.success;"OPAC\FeedbackController";success;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/my-feedback;opac.feedback.my-feedback;"OPAC\FeedbackController";myFeedback;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/my-feedback/{id};opac.feedback.show;"OPAC\FeedbackController";show;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/news;opac.news.index;"OPAC\NewsController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/news/{news};opac.news.show;"OPAC\NewsController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/pages;opac.pages.index;"OPAC\PageController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/pages/{page};opac.pages.show;"OPAC\PageController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/profile;opac.profile;"OPAC\ProfileController";show;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
PUT;/opac/profile;opac.profile.update;"OPAC\ProfileController";update;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/records;opac.records.index;"OPAC\RecordController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/records/autocomplete;opac.records.autocomplete;"OPAC\RecordController";autocomplete;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/records/search;opac.records.search;"OPAC\RecordController";search;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/records/{id};opac.records.show;"OPAC\RecordController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/requests;opac.requests;"OPAC\RequestController";index;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
POST;/opac/requests;opac.requests.store;"OPAC\RequestController";store;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/reservations;opac.reservations;"OPAC\ReservationController";index;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
POST;/opac/reservations;opac.reservations.store;"OPAC\ReservationController";store;"web HandleOpacErrors Authenticate:public";D15;crud;à-porter
GET;/opac/api/search;opac.api.search;"OPAC\SearchController";apiSearch;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/search;opac.search;"OPAC\SearchController";index;"web HandleOpacErrors";D15;crud;à-porter
POST;/opac/search;opac.search.results;"OPAC\SearchController";search;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/search/advanced;opac.search.index;"OPAC\SearchController";index;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/search/history;opac.search.history;"OPAC\SearchController";history;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
POST;/opac/search/history/clear;opac.search.history.clear;"OPAC\SearchController";clearHistory;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
DELETE;/opac/search/history/{searchId};opac.search.history.delete;"OPAC\SearchController";deleteSearch;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
POST;/opac/search/save;opac.search.save;"OPAC\SearchController";saveSearch;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/search/suggestions;opac.search.suggestions;"OPAC\SearchController";suggestions;"web HandleOpacErrors";D15;action;à-porter
GET;/opac/templates;opac.templates.index;"OPAC\TemplateController";index;"web HandleOpacErrors";D15;crud;à-porter
POST;/opac/templates/apply;opac.templates.apply;"OPAC\TemplateController";apply;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
POST;/opac/templates/save-customization;opac.templates.save-customization;"OPAC\TemplateController";saveCustomization;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/templates/{template};opac.templates.show;"OPAC\TemplateController";show;"web HandleOpacErrors";D15;crud;à-porter
GET;/opac/templates/{template}/customize;opac.templates.customize;"OPAC\TemplateController";customize;"web HandleOpacErrors Authenticate:public";D15;action;à-porter
GET;/opac/templates/{template}/preview;opac.templates.preview;"OPAC\TemplateController";preview;"web HandleOpacErrors";D15;action;à-porter
GET;/public/opac-templates;public.opac-templates.index;"OPAC\TemplateController";index;"web Authenticate";D15;crud;à-porter
POST;/public/opac-templates;public.opac-templates.store;"OPAC\TemplateController";store;"web Authenticate";D15;crud;à-porter
GET;/public/opac-templates/create;public.opac-templates.create;"OPAC\TemplateController";create;"web Authenticate";D15;vue;abandonné
GET;/public/opac-templates/{opac_template};public.opac-templates.show;"OPAC\TemplateController";show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/opac-templates/{opac_template};public.opac-templates.update;"OPAC\TemplateController";update;"web Authenticate";D15;crud;à-porter
DELETE;/public/opac-templates/{opac_template};public.opac-templates.destroy;"OPAC\TemplateController";destroy;"web Authenticate";D15;crud;à-porter
GET;/public/opac-templates/{opac_template}/edit;public.opac-templates.edit;"OPAC\TemplateController";edit;"web Authenticate";D15;vue;abandonné
POST;/public/opac-templates/{template}/duplicate;public.opac-templates.duplicate;"OPAC\TemplateController";duplicate;"web Authenticate";D15;action;à-porter
GET;/public/opac-templates/{template}/export;public.opac-templates.export;"OPAC\TemplateController";export;"web Authenticate";D15;export;à-porter
GET;/public/opac-templates/{template}/preview;public.opac-templates.preview;"OPAC\TemplateController";preview;"web Authenticate";D15;action;à-porter
GET;/public/chats;public.chats.index;PublicChatController;index;"web Authenticate";D15;crud;à-porter
POST;/public/chats;public.chats.store;PublicChatController;store;"web Authenticate";D15;crud;à-porter
GET;/public/chats/create;public.chats.create;PublicChatController;create;"web Authenticate";D15;vue;abandonné
GET;/public/chats/{chat};public.chats.show;PublicChatController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/chats/{chat};public.chats.update;PublicChatController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/chats/{chat};public.chats.destroy;PublicChatController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/chats/{chat}/edit;public.chats.edit;PublicChatController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/chats/{chat}/messages;public.chats.messages.index;PublicChatMessageController;index;"web Authenticate";D15;crud;à-porter
POST;/public/chats/{chat}/messages;public.chats.messages.store;PublicChatMessageController;store;"web Authenticate";D15;crud;à-porter
GET;/public/chats/{chat}/messages/create;public.chats.messages.create;PublicChatMessageController;create;"web Authenticate";D15;vue;abandonné
GET;/public/chats/{chat}/messages/{message};public.chats.messages.show;PublicChatMessageController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/chats/{chat}/messages/{message};public.chats.messages.update;PublicChatMessageController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/chats/{chat}/messages/{message};public.chats.messages.destroy;PublicChatMessageController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/chats/{chat}/messages/{message}/edit;public.chats.messages.edit;PublicChatMessageController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/chat-participants;public.chat-participants.index;PublicChatParticipantController;index;"web Authenticate";D15;crud;à-porter
POST;/public/chat-participants;public.chat-participants.store;PublicChatParticipantController;store;"web Authenticate";D15;crud;à-porter
GET;/public/chat-participants/create;public.chat-participants.create;PublicChatParticipantController;create;"web Authenticate";D15;vue;abandonné
GET;/public/chat-participants/{chat_participant};public.chat-participants.show;PublicChatParticipantController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/chat-participants/{chat_participant};public.chat-participants.update;PublicChatParticipantController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/chat-participants/{chat_participant};public.chat-participants.destroy;PublicChatParticipantController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/chat-participants/{chat_participant}/edit;public.chat-participants.edit;PublicChatParticipantController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/document-requests;public.document-requests.index;PublicDocumentRequestController;index;"web Authenticate";D15;crud;à-porter
POST;/public/document-requests;public.document-requests.store;PublicDocumentRequestController;store;"web Authenticate";D15;crud;à-porter
GET;/public/document-requests/create;public.document-requests.create;PublicDocumentRequestController;create;"web Authenticate";D15;vue;abandonné
GET;/public/document-requests/{document_request};public.document-requests.show;PublicDocumentRequestController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/document-requests/{document_request};public.document-requests.update;PublicDocumentRequestController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/document-requests/{document_request};public.document-requests.destroy;PublicDocumentRequestController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/document-requests/{document_request}/edit;public.document-requests.edit;PublicDocumentRequestController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/events;public.events.index;PublicEventController;index;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;crud;à-porter
POST;/public/events;public.events.store;PublicEventController;store;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;crud;à-porter
POST;/public/events/bulk-action;public.events.bulk-action;PublicEventController;bulkAction;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;action;à-porter
GET;/public/events/create;public.events.create;PublicEventController;create;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;vue;abandonné
GET;/public/events/{event};public.events.show;PublicEventController;show;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;crud;à-porter
PUT|PATCH;/public/events/{event};public.events.update;PublicEventController;update;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;crud;à-porter
DELETE;/public/events/{event};public.events.destroy;PublicEventController;destroy;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;crud;à-porter
GET;/public/events/{event}/edit;public.events.edit;PublicEventController;edit;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;vue;abandonné
GET;/public/events/{event}/export-registrations;public.events.export-registrations;PublicEventController;exportRegistrations;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;export;à-porter
GET;/public/events/{event}/registrations;public.events.registrations;PublicEventController;registrations;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;action;à-porter
POST;/public/events/{event}/registrations/{registration}/status;public.events.registrations.status;PublicEventController;updateRegistrationStatus;"web Authenticate CheckPermissionMiddleware:public.events.manage";D15;action;à-porter
GET;/public/event-registrations;public.event-registrations.index;PublicEventRegistrationController;index;"web Authenticate";D15;crud;à-porter
POST;/public/event-registrations;public.event-registrations.store;PublicEventRegistrationController;store;"web Authenticate";D15;crud;à-porter
GET;/public/event-registrations/create;public.event-registrations.create;PublicEventRegistrationController;create;"web Authenticate";D15;vue;abandonné
GET;/public/event-registrations/{event_registration};public.event-registrations.show;PublicEventRegistrationController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/event-registrations/{event_registration};public.event-registrations.update;PublicEventRegistrationController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/event-registrations/{event_registration};public.event-registrations.destroy;PublicEventRegistrationController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/event-registrations/{event_registration}/edit;public.event-registrations.edit;PublicEventRegistrationController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/feedback;public.feedback.index;PublicFeedbackController;index;"web Authenticate";D15;crud;à-porter
POST;/public/feedback;public.feedback.store;PublicFeedbackController;store;"web Authenticate";D15;crud;à-porter
GET;/public/feedback/create;public.feedback.create;PublicFeedbackController;create;"web Authenticate";D15;vue;abandonné
GET;/public/feedback/{feedback};public.feedback.show;PublicFeedbackController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/feedback/{feedback};public.feedback.update;PublicFeedbackController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/feedback/{feedback};public.feedback.destroy;PublicFeedbackController;destroy;"web Authenticate";D15;crud;à-porter
POST;/public/feedback/{feedback}/comments;public.feedback.add-comment;PublicFeedbackController;addComment;"web Authenticate";D15;action;à-porter
DELETE;/public/feedback/{feedback}/comments/{comment};public.feedback.delete-comment;PublicFeedbackController;deleteComment;"web Authenticate";D15;action;à-porter
GET;/public/feedback/{feedback}/edit;public.feedback.edit;PublicFeedbackController;edit;"web Authenticate";D15;vue;abandonné
PUT;/public/feedback/{feedback}/status;public.feedback.update-status;PublicFeedbackController;updateStatus;"web Authenticate";D15;action;à-porter
GET;/public/news;public.news.index;PublicNewsController;index;"web Authenticate";D15;crud;à-porter
POST;/public/news;public.news.store;PublicNewsController;store;"web Authenticate";D15;crud;à-porter
GET;/public/news/create;public.news.create;PublicNewsController;create;"web Authenticate";D15;vue;abandonné
GET;/public/news/{news};public.news.show;PublicNewsController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/news/{news};public.news.update;PublicNewsController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/news/{news};public.news.destroy;PublicNewsController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/news/{news}/edit;public.news.edit;PublicNewsController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/pages;public.pages.index;PublicPageController;index;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;crud;à-porter
POST;/public/pages;public.pages.store;PublicPageController;store;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;crud;à-porter
POST;/public/pages/bulk-action;public.pages.bulk-action;PublicPageController;bulkAction;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;action;à-porter
GET;/public/pages/create;public.pages.create;PublicPageController;create;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;vue;abandonné
POST;/public/pages/reorder;public.pages.reorder;PublicPageController;reorder;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;action;à-porter
GET;/public/pages/{page};public.pages.show;PublicPageController;show;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;crud;à-porter
PUT|PATCH;/public/pages/{page};public.pages.update;PublicPageController;update;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;crud;à-porter
DELETE;/public/pages/{page};public.pages.destroy;PublicPageController;destroy;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;crud;à-porter
GET;/public/pages/{page}/edit;public.pages.edit;PublicPageController;edit;"web Authenticate CheckPermissionMiddleware:public.pages.manage";D15;vue;abandonné
GET;/public/records;public.records.index;PublicRecordController;index;"web Authenticate";D15;crud;à-porter
POST;/public/records;public.records.store;PublicRecordController;store;"web Authenticate";D15;crud;à-porter
GET;/public/records/autocomplete;public.records.autocomplete;PublicRecordController;autocomplete;"web Authenticate";D15;action;à-porter
GET;/public/records/create;public.records.create;PublicRecordController;create;"web Authenticate";D15;vue;abandonné
GET;/public/records/{record};public.records.show;PublicRecordController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/records/{record};public.records.update;PublicRecordController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/records/{record};public.records.destroy;PublicRecordController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/records/{record}/edit;public.records.edit;PublicRecordController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/response-attachments;public.response-attachments.index;PublicResponseAttachmentController;index;"web Authenticate";D15;crud;à-porter
POST;/public/response-attachments;public.response-attachments.store;PublicResponseAttachmentController;store;"web Authenticate";D15;crud;à-porter
GET;/public/response-attachments/create;public.response-attachments.create;PublicResponseAttachmentController;create;"web Authenticate";D15;vue;abandonné
GET;/public/response-attachments/{response_attachment};public.response-attachments.show;PublicResponseAttachmentController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/response-attachments/{response_attachment};public.response-attachments.update;PublicResponseAttachmentController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/response-attachments/{response_attachment};public.response-attachments.destroy;PublicResponseAttachmentController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/response-attachments/{response_attachment}/edit;public.response-attachments.edit;PublicResponseAttachmentController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/responses;public.responses.index;PublicResponseController;index;"web Authenticate";D15;crud;à-porter
POST;/public/responses;public.responses.store;PublicResponseController;store;"web Authenticate";D15;crud;à-porter
GET;/public/responses/create;public.responses.create;PublicResponseController;create;"web Authenticate";D15;vue;abandonné
GET;/public/responses/{response};public.responses.show;PublicResponseController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/responses/{response};public.responses.update;PublicResponseController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/responses/{response};public.responses.destroy;PublicResponseController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/responses/{response}/edit;public.responses.edit;PublicResponseController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/search-logs;public.search-logs.index;PublicSearchLogController;index;"web Authenticate";D15;crud;à-porter
GET;/public/search-logs/{search_log};public.search-logs.show;PublicSearchLogController;show;"web Authenticate";D15;crud;à-porter
GET;/public/templates;public.templates.index;PublicTemplateController;index;"web Authenticate";D15;crud;à-porter
POST;/public/templates;public.templates.store;PublicTemplateController;store;"web Authenticate";D15;crud;à-porter
GET;/public/templates/create;public.templates.create;PublicTemplateController;create;"web Authenticate";D15;vue;abandonné
GET;/public/templates/{template};public.templates.show;PublicTemplateController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/templates/{template};public.templates.update;PublicTemplateController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/templates/{template};public.templates.destroy;PublicTemplateController;destroy;"web Authenticate";D15;crud;à-porter
GET;/public/templates/{template}/edit;public.templates.edit;PublicTemplateController;edit;"web Authenticate";D15;vue;abandonné
GET;/public/dashboard;public.dashboard;PublicUserController;dashboard;"web Authenticate";D15;action;à-porter
GET;/public/statistics;public.statistics;PublicUserController;statistics;"web Authenticate";D15;action;à-porter
GET;/public/users;public.users.index;PublicUserController;index;"web Authenticate";D15;crud;à-porter
POST;/public/users;public.users.store;PublicUserController;store;"web Authenticate";D15;crud;à-porter
GET;/public/users/create;public.users.create;PublicUserController;create;"web Authenticate";D15;vue;abandonné
GET;/public/users/{user};public.users.show;PublicUserController;show;"web Authenticate";D15;crud;à-porter
PUT|PATCH;/public/users/{user};public.users.update;PublicUserController;update;"web Authenticate";D15;crud;à-porter
DELETE;/public/users/{user};public.users.destroy;PublicUserController;destroy;"web Authenticate";D15;crud;à-porter
PATCH;/public/users/{user}/activate;public.users.activate;PublicUserController;activate;"web Authenticate";D15;action;à-porter
PATCH;/public/users/{user}/deactivate;public.users.deactivate;PublicUserController;deactivate;"web Authenticate";D15;action;à-porter
GET;/public/users/{user}/edit;public.users.edit;PublicUserController;edit;"web Authenticate";D15;vue;abandonné
GET;/settings/backups;backups.index;BackupController;index;"web Authenticate";D16;crud;à-porter
POST;/settings/backups;backups.store;BackupController;store;"web Authenticate";D16;crud;à-porter
GET;/settings/backups/create;backups.create;BackupController;create;"web Authenticate";D16;vue;abandonné
GET;/settings/backups/{backup};backups.show;BackupController;show;"web Authenticate";D16;crud;à-porter
PUT|PATCH;/settings/backups/{backup};backups.update;BackupController;update;"web Authenticate";D16;crud;à-porter
DELETE;/settings/backups/{backup};backups.destroy;BackupController;destroy;"web Authenticate";D16;crud;à-porter
GET;/settings/backups/{backup}/edit;backups.edit;BackupController;edit;"web Authenticate";D16;vue;abandonné
GET;/settings/backups/{backup}/files;backups.files.index;BackupFileController;index;"web Authenticate";D16;crud;à-porter
POST;/settings/backups/{backup}/files;backups.files.store;BackupFileController;store;"web Authenticate";D16;crud;à-porter
GET;/settings/backups/{backup}/files/create;backups.files.create;BackupFileController;create;"web Authenticate";D16;vue;abandonné
GET;/settings/backups/{backup}/files/{file};backups.files.show;BackupFileController;show;"web Authenticate";D16;crud;à-porter
